#	Pokémon		Item	Moves				Nature	EVs
									HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
278		Wingull	Wacan Berry	{MoveID:209s,MovePP:15b}	{MoveID:217s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:405s,MovePP:10b}	Modest	252	-	-	252	-	-
361		Snorunt	Icy Rock	{MoveID:105s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:21s,MovePP:10b}	{MoveID:220s,MovePP:10b}	Modest	-	-	-	252	252	-
204		Pineco	Rocky Helmet	{MoveID:16s,MovePP:10b}	{MoveID:17s,MovePP:10b}	{MoveID:268s,MovePP:10b}	{MoveID:469s,MovePP:20b}	Impish	-	252	252	-	-	-
459		Snover	Expert Belt	{MoveID:105s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:505s,MovePP:15b}	Modest	-	-	-	252	252	-
167		Spinarak	Coba Berry	{MoveID:93s,MovePP:20b}	{MoveID:462s,MovePP:20b}	{MoveID:615s,MovePP:20b}	{MoveID:259s,MovePP:5b}	Adamant	-	252	252	-	-	-
650		Chespin	Miracle Seed	{MoveID:15s,MovePP:15b}	{MoveID:88s,MovePP:15b}	{MoveID:610s,MovePP:20b}	{MoveID:392s,MovePP:20b}	Adamant	-	252	-	-	252	-
653		Fennekin	Passho Berry	{MoveID:51s,MovePP:15b}	{MoveID:129s,MovePP:10b}	{MoveID:207s,MovePP:15b}	{MoveID:19s,MovePP:5b}	Modest	-	-	-	252	-	252
656		Froakie	Rindo Berry	{MoveID:159s,MovePP:15b}	{MoveID:251s,MovePP:15b}	{MoveID:36s,MovePP:20b}	{MoveID:133s,MovePP:30b}	Adamant	-	252	-	-	-	252
669		Flabébé	Babiri Berry	{MoveID:567s,MovePP:10b}	{MoveID:33s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:22s,MovePP:25b}	Modest	-	-	-	252	-	252
436		Bronzor	Salac Berry	{MoveID:383s,MovePP:20b}	{MoveID:221s,MovePP:10b}	{MoveID:268s,MovePP:10b}	{MoveID:60s,MovePP:20b}	Modest	-	-	-	252	252	-
667		Litleo	Heat Rock	{MoveID:51s,MovePP:15b}	{MoveID:554s,MovePP:15b}	{MoveID:366s,MovePP:10b}	{MoveID:19s,MovePP:5b}	Modest	-	-	-	252	-	252
165		Ledyba	Charti Berry	{MoveID:240s,MovePP:30b}	{MoveID:254s,MovePP:20b}	{MoveID:251s,MovePP:15b}	{MoveID:35s,MovePP:20b}	Adamant	-	252	-	-	-	252
595		Joltik	Salac Berry	{MoveID:381s,MovePP:15b}	{MoveID:497s,MovePP:10b}	{MoveID:33s,MovePP:10b}	{MoveID:132s,MovePP:30b}	Timid	-	-	-	252	-	252
443		Gible	Yache Berry	{MoveID:55s,MovePP:15b}	{MoveID:60s,MovePP:20b}	{MoveID:203s,MovePP:20b}	{MoveID:208s,MovePP:15b}	Adamant	-	252	-	-	-	252
451		Skorupi	Razor Claw	{MoveID:435s,MovePP:15b}	{MoveID:35s,MovePP:20b}	{MoveID:462s,MovePP:20b}	{MoveID:434s,MovePP:15b}	Adamant	-	252	-	-	-	252
403		Shinx	Magnet	{MoveID:263s,MovePP:15b}	{MoveID:260s,MovePP:15b}	{MoveID:123s,MovePP:20b}	{MoveID:56s,MovePP:15b}	Adamant	-	252	-	-	-	252
343		Baltoy	Quick Claw	{MoveID:383s,MovePP:20b}	{MoveID:266s,MovePP:10b}	{MoveID:229s,MovePP:10b}	{MoveID:488s,MovePP:10b}	Modest	-	-	-	252	252	-
88		Grimer	Black Sludge	{MoveID:27s,MovePP:10b}	{MoveID:565s,MovePP:20b}	{MoveID:182s,MovePP:20b}	{MoveID:51s,MovePP:15b}	Calm	-	-	-	252	252	-
434		Stunky	Scope Lens	{MoveID:50s,MovePP:20b}	{MoveID:434s,MovePP:15b}	{MoveID:208s,MovePP:15b}	{MoveID:278s,MovePP:10b}	Adamant	-	252	-	-	-	252
708		Phantump	Kasib Berry	{MoveID:241s,MovePP:20b}	{MoveID:531s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:433s,MovePP:20b}	Adamant	-	252	-	-	252	-
592		Frillish	Shell Bell	{MoveID:104s,MovePP:15b}	{MoveID:227s,MovePP:15b}	{MoveID:129s,MovePP:10b}	{MoveID:139s,MovePP:10b}	Calm	-	-	-	252	252	-
677		Espurr	TwistedSpoon	{MoveID:129s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:223s,MovePP:10b}	Modest	-	-	-	252	-	252
624		Pawniard	Black Glasses	{MoveID:464s,MovePP:15b}	{MoveID:434s,MovePP:15b}	{MoveID:203s,MovePP:20b}	{MoveID:35s,MovePP:20b}	Impish	-	252	252	-	-	-
674		Pancham	Black Glasses	{MoveID:610s,MovePP:20b}	{MoveID:260s,MovePP:15b}	{MoveID:208s,MovePP:15b}	{MoveID:187s,MovePP:10b}	Adamant	-	252	252	-	-	-
662		Fletchinder	King's Rock	{MoveID:204s,MovePP:20b}	{MoveID:133s,MovePP:30b}	{MoveID:303s,MovePP:25b}	{MoveID:75s,MovePP:15b}	Adamant	-	252	-	-	-	252
318		Carvanha	Chople Berry	{MoveID:260s,MovePP:15b}	{MoveID:159s,MovePP:15b}	{MoveID:471s,MovePP:20b}	{MoveID:450s,MovePP:15b}	Jolly	-	252	-	-	-	252
138		Omanyte	Rindo Berry	{MoveID:105s,MovePP:10b}	{MoveID:283s,MovePP:10b}	{MoveID:394s,MovePP:15b}	{MoveID:104s,MovePP:15b}	Modest	-	-	252	252	-	-
397		Staravia	Liechi Berry	{MoveID:262s,MovePP:5b}	{MoveID:203s,MovePP:20b}	{MoveID:28s,MovePP:20b}	{MoveID:133s,MovePP:30b}	Jolly	-	252	-	-	-	252
402		Kricketune	Sitrus Berry	{MoveID:149s,MovePP:10b}	{MoveID:436s,MovePP:10b}	{MoveID:225s,MovePP:5b}	{MoveID:505s,MovePP:15b}	Calm	-	-	252	-	252	-
228		Houndour	Charti Berry	{MoveID:501s,MovePP:15b}	{MoveID:51s,MovePP:15b}	{MoveID:269s,MovePP:15b}	{MoveID:445s,MovePP:20b}	Modest	-	-	-	252	-	252
96		Drowzee	TwistedSpoon	{MoveID:288s,MovePP:15b}	{MoveID:610s,MovePP:20b}	{MoveID:130s,MovePP:20b}	{MoveID:84s,MovePP:15b}	Adamant	-	252	-	-	-	252
608		Lampent	{MoveID:117s,MovePP:25b} Bulb	{MoveID:53s,MovePP:5b}	{MoveID:227s,MovePP:15b}	{MoveID:142s,MovePP:10b}	{MoveID:232s,MovePP:10b}	Modest	252	-	-	252	-	-
163		Hoothoot	Yache Berry	{MoveID:209s,MovePP:15b}	{MoveID:227s,MovePP:15b}	{MoveID:130s,MovePP:20b}	{MoveID:170s,MovePP:15b}	Timid	-	-	-	252	-	252
431		Glameow	Razor Claw	{MoveID:50s,MovePP:20b}	{MoveID:208s,MovePP:15b}	{MoveID:254s,MovePP:20b}	{MoveID:324s,MovePP:10b}	Adamant	-	252	-	-	-	252
188		Skiploom	Charti Berry	{MoveID:33s,MovePP:10b}	{MoveID:505s,MovePP:15b}	{MoveID:576s,MovePP:30b}	{MoveID:567s,MovePP:10b}	Modest	-	-	-	252	-	252
183		Marill	Muscle Band	{MoveID:214s,MovePP:10b}	{MoveID:201s,MovePP:15b}	{MoveID:40s,MovePP:15b}	{MoveID:429s,MovePP:20b}	Adamant	252	252	-	-	-	-
525		Boldore	Air Balloon	{MoveID:283s,MovePP:10b}	{MoveID:60s,MovePP:20b}	{MoveID:285s,MovePP:20b}	{MoveID:267s,MovePP:10b}	Adamant	-	252	252	-	-	-
281		Kirlia	TwistedSpoon	{MoveID:223s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:567s,MovePP:10b}	Modest	-	-	-	252	-	252
363		Spheal	Icy Rock	{MoveID:525s,MovePP:10b}	{MoveID:159s,MovePP:15b}	{MoveID:26s,MovePP:15b}	{MoveID:220s,MovePP:10b}	Adamant	252	252	-	-	-	-
408		Cranidos	Petaya Berry	{MoveID:320s,MovePP:5b}	{MoveID:51s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:122s,MovePP:15b}	Modest	-	-	-	252	-	252
533		Gurdurr	Zoom Lens	{MoveID:308s,MovePP:5b}	{MoveID:433s,MovePP:20b}	{MoveID:284s,MovePP:15b}	{MoveID:240s,MovePP:30b}	Adamant	-	252	252	-	-	-
705		Sliggoo	Sitrus Berry	{MoveID:149s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:233s,MovePP:15b}	{MoveID:437s,MovePP:10b}	Calm	-	-	252	-	252	-
